Série,Tome,Titre,Sous-titre,Auteurs,Editeurs
Trois...et l'ange,1,Les éphémères,,"Morvan, Colombo",Dargaud
Trois...et l'ange,2,Jusqu'au dernier,,"Morvan, Colombo",Dargaud
Trois...et l'ange,3,Doubles vies,,"Morvan, Colombo",Dargaud
Marlysa,1,Le masque,,"Gaudin, Danard",Soleil
Marlysa,2,L'ombre de Dompour,,"Gaudin, Danard",Soleil
Marlysa,3,L'autre coté,,"Gaudin, Danard",Soleil
Marlysa,4,Bragal,,"Gaudin, Danard",Soleil
Marlysa,5,Le thaumaturge,,"Gaudin, Danard",Soleil
L'ordre de Cicéron,3,Le survivant,,"Malka, Gillon",Glénat
La Quête de l'oiseau du temps,3,Le Rige,,"Le Tendre, Loisel",Dargaud
La guerre éternelle,0,"Intégrale (1,2,3)",,"Marvano, Haldeman",Dupuis
Sin City,1,Sin City,,Franck Miller,Rackham
Sin City,2,J'ai tué pour elle,,Franck Miller,Rackham
Sin City,3,Le grand carnage,,Franck Miller,Rackham
Sin City,4,Cet enfant de salaud,,Franck Miller,Rackham
Sin City,5,Valeurs familiales,,Franck Miller,Rackham
Sin City,6,Des filles et des flingues,,Franck Miller,Rackham
Sin City,7,L'enfer en retour,,Franck Miller,Rackham
Tout seul,0,Tout seul,,Chabouté,Vents d'Ouest
Dany,1,On va plus loin ?,,Dany,Joker
Dany,2,Ca vous intéresse ?,,Dany,Joker
Dany,3,Vous n'avez pas honte ?,,Dany,Joker
Dany,4,Où voulez-vous en venir ?,,Dany,Joker
Dany,5,Ca vous choque ?,,Dany,Joker
Dany,6,Comment osez-vous ?,,Dany,Joker
Ceci est mon corps,1,Lumière crue,,"Goethals, Marie",Grand angle
Ceci est mon corps,2,Surexposition,,"Goethals, Marie",Grand angle
Péché Mortel,1,Le virus du pouvoir,,"Béhé, Toff",Vents d'Ouest
Péché Mortel,2,Un scalpel dans la mémoire,,"Béhé, Toff",Vents d'Ouest
Péché Mortel,3,Résistances,,"Béhé, Toff",Vents d'Ouest
Péché Mortel,4,Autopsie d'un mensonge,,"Béhé, Toff",Vents d'Ouest
Double je,1,Première partie,,"Béhé, Toff",Vents d'Ouest
Double je,2,Seconde partie,,"Béhé, Toff",Vents d'Ouest
Il était une fois en France,1,L'empire de Monsieur Joseph,,"Nury, Vallée",Glénat
Il était une fois en France,2,Le vol noir des corbeaux,,"Nury, Vallée",Glénat
Il était une fois en France,3,Honneur et Police,,"Nury, Vallée",Glénat
Il était une fois en France,4,"Aux armes, citoyens !",,"Nury, Vallée",Glénat
Il était une fois en France,5,Le petit juge de Melun,,"Nury, Vallée",Glénat
Il était une fois en France,6,La Terre Promise,,"Nury, Vallée",Glénat
Finkel,1,L'enfant de mer,,"Gine, Convard",Delcourt
Finkel,2,Océane,,"Gine, Convard",Delcourt
Finkel,3,Genos,,"Gine, Convard",Delcourt
Finkel,4,Le secret,,"Gine, Convard",Delcourt
Finkel,5,Origine,,"Gine, Convard",Delcourt
Finkel,6,Esta,,"Gine, Convard",Delcourt
Finkel,7,Corruption,,"Gine, Convard",Delcourt
La poussière des anges,1,Blanche neige,,"Marie, Karl T.",Vents d'Ouest
La poussière des anges,2,Cendres,,"Marie, Karl T.",Vents d'Ouest
La cuisine du Diable,1,Le déjeuner des ogres,,"Marie, Karl T.",Vents d'Ouest
La cuisine du Diable,2,Le festin des monstres,,"Marie, Karl T.",Vents d'Ouest
La cuisine du Diable,3,La part des chiens,,"Marie, Karl T.",Vents d'Ouest
La cuisine du Diable,4,Le ventre de la bête,,"Marie, Karl T.",Vents d'Ouest
Naja,1,Tome 1,,"Bengal, Morvan",Dargaud
Naja,2,Tome 2,,"Bengal, Morvan",Dargaud
Naja,3,Tome 3,,"Bengal, Morvan",Dargaud
Naja,4,Tome 4,,"Bengal, Morvan",Dargaud
Naja,5,Tome 5,,"Bengal, Morvan",Dargaud
